證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1760","寶齡富錦","166926","14448423","87.40","87.40","86.00","86.50","-0.6000","261"
"1762","中化生","53799","2313362","42.90","43.15","42.75","42.75","-0.2500","129"
"1773","勝一","421321","72562472","171.00","174.00","170.50","170.50","2.0000","562"
"1776","展宇","611616","13302074","21.80","22.25","21.20","21.70","-0.0500","479"
"1783","和康生","58719","2483060","42.60","42.80","41.90","41.90","-0.6500","176"
"1786","科妍","507853","53047068","106.00","106.00","103.50","103.50","-1.5000","619"
"1789","神隆","220157","5429031","24.70","24.80","24.55","24.65","-0.0500","208"
"1795","美時","791762","205795477","260.50","262.50","258.00","259.00","-1.0000","3616"
"1802","台玻","5023665","87167305","17.60","17.60","17.20","17.40","-0.2000","2053"
"1805","寶徠","157173","3020292","19.50","19.75","19.05","19.15","-0.2000","125"
"1806","冠軍","722882","8563200","11.95","12.10","11.70","11.70","-0.2000","284"
"1808","潤隆","1277957","62810963","49.60","49.60","48.65","49.35","0.0500","1245"
"1809","中釉","699258","14641306","21.25","21.30","20.75","20.90","-0.3500","523"
"1810","和成","630496","11393040","18.30","18.30","17.90","18.10","-0.0500","434"
"1817","凱撒衛","245731","10103532","41.45","41.50","41.00","41.00","-0.4500","387"
"1903","士紙","85490","4825585","56.90","56.90","56.20","56.30","-0.6000","107"
"1904","正隆","812769","19777829","24.25","24.50","24.10","24.35","0.2000","684"
"1905","華紙","800535","15399001","19.25","19.35","19.10","19.25","0.0000","582"
"1906","寶隆","80093","1229522","15.40","15.50","15.20","15.20","-0.1500","105"
"1907","永豐餘","658852","20979514","31.75","32.05","31.60","31.80","0.0500","441"
"1909","榮成","1231906","17001729","13.90","14.00","13.65","13.70","-0.2000","640"
"2002","中鋼","25826375","589781851","22.60","23.00","22.45","22.95","0.5000","8888"
"2002A","中鋼特","24000","1013750","42.20","42.75","42.15","42.15","-0.0500","18"
"2006","東和鋼鐵","839339","64258381","77.30","77.60","76.00","76.00","-1.2000","5718"
"2007","燁興","1274388","14321376","11.35","11.40","10.95","11.30","-0.1000","576"
"2008","高興昌","55323","1791079","31.90","32.95","31.90","31.90","0.0000","59"
"2009","第一銅","1222841","51832508","42.90","42.90","42.05","42.25","-0.6000","1067"
"2010","春源","2000643","38029461","18.90","19.15","18.75","19.00","0.3500","1083"
"2012","春雨","236740","6288476","26.70","26.70","26.25","26.65","0.4500","198"
"2013","中鋼構","57446","3072365","52.90","54.00","52.90","53.60","0.7000","63"
"2014","中鴻","7553843","161363111","21.25","21.70","21.00","21.25","-0.1500","3554"
"2015","豐興","320806","27747687","84.50","87.20","84.50","86.30","0.8000","265"
"2017","官田鋼","313729","3943328","12.60","12.70","12.50","12.50","-0.1000","289"
"2020","美亞","982217","27988651","28.95","29.00","28.20","28.40","-0.5000","1011"
"2022","聚亨","628104","6337736","10.15","10.15","9.98","10.10","0.0000","269"
"2023","燁輝","2525742","38985841","15.50","15.65","15.20","15.35","0.0000","967"
"2024","志聯","17346","367404","21.05","21.80","20.85","20.95","0.2000","76"
"2025","千興","777251","8657720","11.15","11.25","11.05","11.05","-0.1000","273"
"2027","大成鋼","3078953","103776321","33.90","34.00","33.50","33.50","-0.4000","3571"
"2028","威致","160422","4046141","25.30","25.45","25.05","25.05","-0.1500","129"
"2029","盛餘","444287","11879361","26.60","26.85","26.60","26.75","0.1000","230"
"2030","彰源","272057","5019546","18.65","18.65","18.30","18.30","-0.3000","293"
"2031","新光鋼","644759","37785333","58.50","59.00","58.20","58.30","-0.3000","431"
"2032","新鋼","125210","2001642","16.20","16.20","15.80","15.85","-0.1500","91"
"2033","佳大","1484561","36707464","24.00","25.70","23.75","24.20","0.2000","1112"
"2034","允強","263087","6063038","22.95","23.20","22.85","23.05","0.1000","214"
"2038","海光","800926","15327807","19.35","19.40","18.90","19.00","-0.3500","455"
"2049","上銀","9448857","2303951594","250.00","252.50","236.50","241.50","-7.5000","37448"
"2059","川湖","1036917","1150568825","1125.00","1140.00","1075.00","1080.00","-35.0000","1901"
"2062","橋椿","1911963","71453533","37.90","37.90","37.10","37.45","-0.2000","1296"
"2069","運錩","192884","3336392","17.45","17.45","17.15","17.30","0.0500","144"
"2101","南港","2225420","107183560","49.00","49.00","47.90","48.05","-0.8000","1511"
"2102","泰豐","344651","7564346","21.80","22.20","21.80","21.95","0.0000","222"
"2103","台橡","757061","18498814","24.40","24.55","24.30","24.50","0.0500","497"
"2104","國際中橡","533864","8396367","15.75","15.85","15.65","15.75","0.0000","426"
"2105","正新","4723222","225786823","48.30","48.30","47.55","47.85","-0.2000","2893"
"2106","建大","582798","17878859","30.40","30.80","30.35","30.75","0.3500","405"
"2107","厚生","222407","5727991","25.65","25.85","25.65","25.85","0.2000","153"
"2108","南帝","351693","12783749","36.45","36.70","36.10","36.20","-0.2500","302"
"2109","華豐","128108","2364405","18.40","18.55","18.40","18.45","0.0500","99"
"2114","鑫永銓","22775","2163875","95.60","95.60","94.70","94.70","0.2000","37"
"2115","六暉-KY","96889","3043104","31.40","31.50","31.20","31.40","0.0500","62"
"2201","裕隆","1620384","92058851","57.40","57.50","56.40","56.50","-0.4000","1283"
"2204","中華","1280437","89729417","70.50","70.70","69.70","69.90","-0.3000","1403"
"2206","三陽工業","1593321","112379225","71.10","71.30","70.20","70.20","-0.7000","1574"
"2207","和泰車","291352","193926627","663.00","670.00","655.00","666.00","14.0000","635"
"2208","台船","1066953","18478352","17.40","17.50","17.25","17.25","-0.1000","641"
"2211","長榮鋼","781008","83994978","108.00","109.50","106.50","106.50","-1.0000","843"
"2227","裕日車","37181","4318130","115.00","117.00","114.50","115.00","2.0000","124"
"2228","劍麟","1196455","146359104","123.00","124.00","121.00","122.50","1.0000","1209"
"2231","為升","501913","49221349","98.20","99.20","97.00","97.00","-0.9000","457"
"2233","宇隆","338209","52124127","158.00","158.00","152.00","152.50","-4.5000","438"
"2236","百達-KY","1127361","144193041","126.00","129.50","124.00","128.00","4.0000","717"
"2239","英利-KY","108084","4744218","43.35","44.70","43.35","43.55","-0.3500","70"
"2241","艾姆勒","3717335","134238653","36.50","36.95","35.20","35.40","-0.9500","2276"
"2243","宏旭-KY","722326","16862262","23.90","23.90","23.15","23.30","-0.1500","505"
"2247","汎德永業","23169","6732672","291.50","291.50","289.00","290.00","0.0000","89"
"2250","IKKA-KY","163074","15440737","96.30","96.30","93.70","93.70","-2.9000","235"
"2254","巨鎧精密-創","143000","11255800","77.80","79.00","77.40","79.00","2.9000","28"
"2258","鴻華先進-創","687200","30001318","42.30","44.60","42.30","43.60","1.4500","271"
"2301","光寶科","11023918","1162185712","106.00","107.00","104.00","104.50","0.0000","6754"
"2302","麗正","121070","2088245","17.45","17.45","17.10","17.15","0.0500","100"
"2303","聯電","79201330","4033204117","51.50","51.70","50.50","50.50","-1.2000","36277"
"2305","全友","817490","16162554","20.40","20.40","19.35","19.40","-0.6000","550"
"2308","台達電","13313219","5337898325","397.00","405.00","395.00","402.00","10.0000","13790"
"2312","金寶","94467231","2461403247","26.25","26.70","25.40","26.15","0.4500","34594"
"2313","華通","20379809","1283489547","64.70","64.70","62.00","62.10","-2.4000","12625"
"2314","台揚","463838","13676476","29.80","29.85","29.20","29.50","-0.3000","396"
"2316","楠梓電","6596689","358470482","52.90","56.00","51.70","54.30","2.1000","5385"
"2317","鴻海","107497437","22496182726","210.00","211.00","207.00","207.50","-1.0000","63732"
"2321","東訊","6252","88673","14.35","14.35","13.85","14.10","0.2500","11"
"2323","中環","3153682","38771857","12.40","12.45","12.20","12.25","-0.0500","1008"
"2324","仁寶","15570199","555991234","35.60","35.95","35.50","35.50","0.0000","7475"
"2327","國巨","2299320","1434506635","624.00","627.00","619.00","624.00","5.0000","3052"
"2328","廣宇","2039164","73092832","35.60","36.35","35.25","35.35","-0.0500","1654"
"2329","華泰","2013478","77108911","39.10","39.15","38.00","38.05","-0.6500","1861"
"2330","台積電","91036335","99230303460","1095.00","1100.00","1075.00","1085.00","50.0000","132797"
"2331","精英","1245956","30373055","24.80","24.80","24.20","24.20","-0.4000","833"
"2332","友訊","10745794","212257446","19.35","20.05","19.15","19.75","0.5000","4490"
"2337","旺宏","3598088","93884310","26.20","26.35","26.00","26.00","-0.2500","2071"
"2338","光罩","928675","53673778","59.10","59.10","57.30","57.30","-0.7000","786"
"2340","台亞","1286160","47494453","37.65","37.65","36.60","36.65","-0.4500","1493"
"2342","茂矽","594292","20524912","34.90","35.30","34.25","34.40","-0.5000","1177"
"2344","華邦電","15031649","302765284","20.35","20.40","20.00","20.10","-0.1500","5724"
"2345","智邦","5449083","3093041776","553.00","576.00","553.00","569.00","26.0000","5475"
"2347","聯強","2054534","150740579","73.60","73.80","73.00","73.20","0.2000","1710"
"2348","海悅","422220","68215340","164.00","164.00","160.50","160.50","-3.5000","733"
"2348A","海悅甲特","19000","662600","34.90","34.90","34.80","34.90","0.0000","8"
"2349","錸德","6801876","104557533","15.70","15.80","15.20","15.25","-0.3500","2668"
