"統計期","捷運站別","進站人次","出站人次"
"112年","行天宮",9029214,9193623
"112年","松江南京O",9372877,10504786
"112年","忠孝新生O",2168334,2232875
"112年","東門",8323679,8475710
"112年","蘆洲",4826746,4435958
"112年","三民高中",3911567,4005682
"112年","徐匯中學",4028965,4215290
"112年","三和國中",4134730,3994427
"112年","三重國小",3877470,3933337
"112年","迴龍",3732196,3507697
"112年","丹鳳",3243848,2934072
"112年","大坪林Y",1460511,1463008
"112年","十四張",1289733,1334689
"112年","秀朗橋",909783,935721
"112年","景平",1322602,1435275
"112年","景安Y",0,1296393
"112年","中和",1765383,1775441
"112年","橋和",832453,823811
"112年","中原",1123968,1134019
"112年","板新",1036875,1043858
"112年","板橋Y",3472260,3403042
"112年","新埔民生",810108,891762
"112年","頭前庄Y",947928,527302
"112年","幸福",1397800,1513136
"112年","新北產業園區",1995316,2006463
"112年","團體票",273101,273101
"112年","其他",195577,195577

